Document Title,Title Level,Authors,Publication Title,Publication Year,Start Page,End Page,,>= 4,Abstract,Abstract level,Double-check by Tiago or Paulo,DOI,PDF Link,OBS
Enhancing the Performance of Software Development Virtual Teams through the Use of Agile Methods: A Pilot Study,1,"Nevo, Saggi and Chengalur-Smith, InduShobha",IEEE Computer Society,2011,1,10,10,1,,1,,10.1109/HICSS.2011.186,https://doi.org/10.1109/HICSS.2011.186,
RapidRelease: A Dataset of Projects and Issues on Github with Rapid Releases,0,"Joshi, Saket Dattatray and Chimalakonda, Sridhar",IEEE Press,2019,587,591,5,1,,,,10.1109/MSR.2019.00088,https://doi.org/10.1109/MSR.2019.00088,
Security of Public Continuous Integration Services,1,"Gruhn, Volker and Hannebauer, Christoph and John, Christian", , , , ,0,0,,1,,,https://dl.acm.org/doi/10.1145/2491055.2491070,
Agile Software Development with Open Source Software in a Hospital Environment: Case Study of an ECRF-System for Orthopaedical Studies,1,"{O}zcan, T\""{u}nay and Kocak, Semra and Brune, Philipp", Springer-Verlag,2013,439,451,13,1,"In recent years, agile development of web-based applications as well as open-source software (OSS) have been subject to research and practical application in many domains. For the healthcare sector, the use of OSS has been studied in the literature with contradicting findings. Regarding OSS in clinical applications, mainly case studies from hospital-wide IS have been reported. Agile methods have been examined merely in the context of healthcare software product development. However, the development of web-based applications in clinical departments using agile methods and OSS has not been studied so far. Thus, in this paper the feasibility of such an approach is examined for an electronic case report form (eCRF) application for orthopaedical studies. It is demonstrated how OSS-based web engineering projects may be successfully accomplished in highly specialized environments like clinical departments by properly taking into account their specific requirements.",0,,10.1007/978-3-642-39200-9_37,https://doi.org/10.1007/978-3-642-39200-9_37,
Comparing Remote and Co-Located Interaction in Free and Open Source Software Engineering Projects,1,"Buffardi, Kevin",Association for Computing Machinery,2017,22,27,6,1,,1,,10.1145/3059009.3059019,https://doi.org/10.1145/3059009.3059019,
The Patch-Flow Method for Measuring Inner Source Collaboration,0,"Capraro, Maximilian and Dorner, Michael and Riehle, Dirk", , , , ,0,0,,,,,,
Extraction-Based Regression Test Selection,1,"{O}qvist, Jesper and Hedin, G\""{o}rel and Magnusson, Boris", , , , ,0,0,,1,,,https://dl.acm.org/doi/10.1145/2972206.2972224,
Optimising Conceptual Data Models through Profiling in Object Databases,0,"{a}schke, Tilmann and Leone, Stefania and Gm\""{u}nder, Tobias and Norrie, Moira C.", , , , ,0,0,,,,,,
Teaching an Undergraduate Software Engineering Course Using Active Learning and Open Source Projects,1,"Dorodchi, Mohsen and Al-Hossami, Erfan and Nagahisarchoghaei, Mohammad and Diwadkar, Rohit Shenvi and Benedict, Aileen",IEEE Press,2019,1,5,5,1,,1,,10.1109/FIE43999.2019.9028517,https://doi.org/10.1109/FIE43999.2019.9028517,
TWINS: This Workflow is Not Scrum: Agile Process Adaptation for Open Source Software Projects,1,"Robinson, Paul T. and Beecham, Sarah",IEEE Press,2019,24,33,10,1,,1,,10.1109/ICSSP.2019.00014,https://doi.org/10.1109/ICSSP.2019.00014,
Predicting Release Time for Open Source Software Based on the Generalized Software Reliability Model,1,"Washizaki, Hironori and Honda, Kiyoshi and Fukazawa, Yoshiaki", , , , ,0,0,,1,,,https://ieeexplore.ieee.org/document/7284601,
How Does Contributors’ Involvement Influence the Build Status of an Open-Source Software Project?,1,"{Rebou\c{c}as, Marcel and Santos, Renato O. and Pinto, Gustavo and Castor, Fernando", , , , ,0,0,,1,,,https://dl.acm.org/doi/10.1109/MSR.2017.32,
Intelligent Systems Development in a Non Engineering Curriculum,0,"Brand, Emily A. and Honig, William L. and Wojtowicz, Matthew", , , , ,0,0,,,,,,
Multi-Objective Search-Based Approach to Estimate Issue Resolution Time,0,"Al-Zubaidi, Wisam Haitham Abbood and Dam, Hoa Khanh and Ghose, Aditya and Li, Xiaodong", , , , ,0,0,,,,,,
Software Test Automation Practices in Agile Development Environment: An Industry Experience Report,1,"Collins, Eliane Figueiredo and de Lucena, Vicente Ferreira",IEEE Press,2012,57,63,7,1,"The increased importance of Test Automation in software engineering is very evident considering the number of companies investing in automated testing tools nowadays, with the main aim of preventing defects during the development process. Test Automation is considered an essential activity for agile methodologies being the key to speed up the quality assurance process. This paper presents empirical observations and the challenges of a test team new to agile practices and Test Automation using open source testing tools integrated in software projects that use the Scrum methodology. The results obtained showed some important issues to be discussed and the Test Automation practices collected based on the experiences and lessons learned.",0,,,,
File-Level vs. Module-Level Regression Test Selection for .NET,0,"Vasic, Marko and Parvez, Zuhair and Milicevic, Aleksandar and Gligoric, Milos", , , , ,0,0,,,,,,
An Experimental Project Course to Prepare Students for Agile Web Application Development,1,"Clark, Nicholas K. and Pullen, John Mark and Bashioum, Christopher D.", ,,,,0,0,,1,,,https://dl.acm.org/doi/10.1145/2729094.2742636,
Mobile Farm for Software Testing,1,"Mozgovoy, Maxim and Pyshkin, Evgeny", ,,,,0,0,,0,,,,
Widgets to Support Disabled Learners: A Challenge to Participatory Inclusive Design,0,"Gkatzidou, Voula and Pearson, Elaine and Green, Steve and Perrin, Franck-Olivier", ,,,,0,0,,,,,,
Supporting Agile Teams with a Test Analytics Platform: A Case Study,1,"Liechti, Olivier and Pasquier, Jacques and Reis, Rodney",IEEE Press,2017,9,15,7,1,,1,,10.1109/AST.2017.3,https://doi.org/10.1109/AST.2017.3,
Web Accessibility Testing for Singapore Government E-Services,0,"Lim, Zui Young and Chua, Jia Min and Yang, Kaiting and Tan, Wei Shin and Chai, Yinn", ,,,,0,0,,,,,,
Agile Clinical Decision Support Development and Implementation,1,"Basit, Mujeeb A. and Kannan, Vaishnavi and Willett, Duwayne L.", ,,,,0,0,,0,,,,
Lessons Learned in 10 Years of Distributed Systems Capstones,1,"Kleiner, Carsten and Koschel, Arne", ,,,,0,0,,1,,,https://dl.acm.org/doi/10.1145/3287324.3293813,
Decision Support for Off-the-Shelf Software Selection in Web Development Projects,0,"Schwittek, Widura and Eicker, Stefan", ,,,,0,0,,,,,,
Test Coverage and Impact Analysis for Detecting Refactoring Faults: A Study on the Extract Method Refactoring,0,"Alves, Everton L. G. and Massoni, Tiago and Machado, Patr\'{\i}cia D. L.", ,,,,0,0,,,,,,
Search-Based Refactoring Detection Using Software Metrics Variation,0,"Mahouachi, Rim and Kessentini, Marouane and Cinn\'{e}ide, Mel \'{O}", ,,,,0,0,,,,,,
Overview of the Modelling of the Physical World (MOTPW) Workshop at MODELS 2012,0,"Duddy, Keith and Steel, Jim R. H.", ,,,,0,0,,,,,,
MOTPW ’12: Proceedings of the Modelling of the Physical World Workshop,0,, ,,,,0,0,,,,,,
Towards Predicting the Impact of Software Changes on Building Activities,0,"Tufano, Michele and Sajnani, Hitesh and Herzig, Kim", ,,,,0,0,,,,,,
There’s Something about Lean: A Case Study,1,"Bocock, Laura and Martin, Angela",IEEE Computer Society,2011,10,19,10,1,,1,,10.1109/AGILE.2011.44,https://doi.org/10.1109/AGILE.2011.44,
Docear4Word: Reference Management for Microsoft Word Based on BibTeX and the Citation Style Language (CSL),0,"Beel, Joeran and Genzmehr, Marcel and Langer, Stefan", ,,,,0,0,,,,,,
Teaching a Globally Distributed Project Course Using Scrum Practices,1,"Damian, Daniela and Lassenius, Casper and Paasivaara, Maria and Borici, Arber and Schr\""{o}ter, Adrian", ,,,,0,0,,0,,,,
Ghera: A Repository of Android App Vulnerability Benchmarks,0,"Mitra, Joydeep and Ranganath, Venkatesh-Prasad", ,,,,0,0,,,,,,
Provenance-Based Integrity Protection for Windows,0,"Sze, Wai Kit and Sekar, R", ,,,,0,0,,,,,,
GPS and Accelerometer Time Stamps: Proper Data Handling and Avoiding Pitfalls,0,"Hurvitz, Philip M.", ,,,,0,0,,,,,,
Exploring Agile Processes,1,"Anewalt, Karen", ,,,,0,0,,1,,,https://dl.acm.org/doi/10.5555/2038772.2038781,
"The Best of Adaptive and Predictive Methodologies: Open Source Software Development, a Balance between Agility and Discipline",1,"Okoli, Chitu and Carillo, Kevin",Inderscience Publishers,2012,153,166,14,1,"Abstract: Open source software development (OSSD) is a promising alternative for synthesising agile and plan-driven (e.g., waterfall) software development methodologies that retains most benefits of the two approaches. We contrast the traditional systems development life cycle approach, more recent agile software development methods, and OSSD. We compare the first two approaches with OSSD, highlighting its synthesis of benefits from both, with unique benefits of its own, offering solutions to areas where the other methodologies continue to face difficulties. OSSD is highly responsive to user needs, and potentially draws talent from a global team of developers. OSSD is a relatively low-risk methodology with potentially high return on investment. While not appropriate for all applications, especially those where the needed applications are extremely idiosyncratic to one company, it is nonetheless a valuable asset in an organisation's portfolio of software development solutions.",1,,10.1504/IJITM.2012.044071,https://doi.org/10.1504/IJITM.2012.044071,
An Agile Perspective on Open Source Software Engineering,1,"Sahraoui, Sofiane and Al-Nahas, Noor and Suleiman, Rania",IGI Global,2012,52,65,14,1,"Open source software (OSS) development has been a trend parallel to that of agile software development, which is the highly iterative development model following conventional software engineering principles. Striking similarities exist between the two development processes as they seem to follow the same generic phases of software development. Both modes of development have less emphasis on planning and design and a more prominent role for implementation during the software engineering process. This article expounds on this connection by adopting an agile perspective on OSS development to emphasize the similarities and dissimilarities between the two models. An attempt is first made to show how OSS development fits into the generic agile development framework. Then, the article demonstrates how the development process of Mozilla and Apache as two of the most famous OSS projects can be recast within this framework. The similarity discussed and illustrated between agile and OSS development modes is rather limited to the mechanics of the development processes and do not include the philosophies and motivations behind development.",1,,10.4018/ijossp.2012070105,https://doi.org/10.4018/ijossp.2012070105,
Agile Methods for Open Source Safety-Critical Software,1,"Gary, Kevin and Enquobahrie, Andinet and Ibanez, Luis and Cheng, Patrick and Yaniv, Ziv and Cleary, Kevin and Kokoori, Shylaja and Muffih, Benjamin and Heidenreich, John","John Wiley & Sons, Inc.",2011,945,962,18,1,,1,,,,
Speed Up the Conception of Logical Systems with Test-Driven Development,1,"Vidal, Mathieu", ,,,,0,0,,0,,,,
The Architect’s Role in Community Shepherding,0,"Tamburri, Damian A. and Kazman, Rick and Fahimi, Hamed", ,,,,0,0,,,,,,
Reconciling Software Development Models: A Quasi-Systematic Review,1,"Magdaleno, Andr\'{e}a Magalh\~{a}es and Werner, Cl\'{a}udia Maria Lima and Araujo, Renata Mendes de",Elsevier Science Inc.,2012,351,369,19,1,,1,,,,
SSuMMo,0,"Leach, Alex L. B. and Chong, James P. J. and Redeker, Kelly R", ,,,,0,0,,,,,,
Identifying Functions in Binary Code with Reverse Extended Control Flow Graphs,0,"Qiu, Jing and Su, Xiaohong and Ma, Peijun", ,,,,0,0,,,,,,
Near Real-Time Collaborative Modeling for View-Based Web Information Systems Engineering,0,, ,,,,0,0,,,,,,
On Rapid Releases and Software Testing: A Case Study and a Semi-Systematic Literature Review,1,"M\""{a}ntyl\""{a}, Mika V. and Adams, Bram and Khomh, Foutse and Engstr\""{o}m, Emelie and Petersen, Kai", ,,,,0,0,,1,,,https://www.researchgate.net/publication/281489721_On_rapid_releases_and_software_testing_a_case_study_and_a_semi-systematic_literature_review,
,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,
, ,, ,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,total,,,,,,,,,,
,,,Total sem filtro ,46,,,,,,,,,,
,,,Filtro 1 => n>4,78,,,,,,,,,,
,,,Filtro 2 => title,40,,,,,,,,,,
,,,Filtro 3 => abstract,19,,Final até agora,,,,,,,,
,,,Filtro 4 => double-check,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,LEGENDA,QUANTIDADE,,,,,,,,,,
,,,BASE PROF. PAULO,1,,,,,,,,,,
,,,ECONTRADOS NA SCOPUS,,,,,,,,,,,
,,,ENCONTRADOS NA IEEE,0,,,,,,,,,,
,,,ENCONTRADOS NA ACM ,4,,,,,,,,,,
,,,ENCONTRADOS NA SPRINGER,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,REPETIDOS DENTRO DA PRÓPRIA BASE,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
OBS: Artigo encontrado também na SCOPUS,,,,,,,,,,,,,,
OBS: Artigo encontrado também na IEEE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
