Title,S1,Authors,Year,Pages,Document Type,DOI,Link,Keywords,Abstract,Citation Count,Reference Count,Online Date,Date Added To Xplore,Publication Title
TWINS - This Workflow Is Not Scrum: Agile Process Adaptation for Open Source Software Projects,,P. T. Robinson; S. Beecham,2019,9,IEEE Conferences,10.1109/ICSSP.2019.00014,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812868,"agile software development, Scrum, open source software, Kanban, Scrumban","It is becoming commonplace for companies to contribute to open source software (OSS) projects. At the same time, many software organizations are applying Scrum software development practices, for productivity and quality gains. Scrum calls for self-organizing teams, in which the development team has total control over its development process. However, OSS projects typically have their own processes and standards, which might not mesh well with a company's internal processes, such as Scrum. This paper presents an experience report from Sony Interactive Entertainment (SIE), where the ""toolchain CPU compiler"" team directly participates in the ""LLVM"" OSS project. The team ran into a number of difficulties when using Scrum to manage their development. In particular, the team often failed to complete Scrum sprints where tasks required interaction with the open source community. We look at how the team redefined task flows to alleviate these difficulties, and eventually evolved a highly modified process, dubbed TWINS (This Workflow Is Not Scrum). We assess the revised process, and compare it to other established agile methods, finding it bears a strong resemblance to Scrumban (the SIE team was not aware of Scrumban previously). The TWINS framework presented here may help other organizations who develop software in-house and engage in OSS projects, to gain the best of both worlds.",5,48,26-Aug-19,26-Aug-19,2019 IEEE/ACM International Conference on Software and System Processes (ICSSP)
RapidRelease - A Dataset of Projects and Issues on Github with Rapid Releases,,S. D. Joshi; S. Chimalakonda,2019,4,IEEE Conferences,10.1109/MSR.2019.00088,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8816794,Github repositories;agile development;release engineering;release cycles;open source development,"In the recent years, there has been a surge in the adoption of agile development model and continuous integration (CI) in software development. Recent trends have reduced average release cycle lengths to as low as 1-2 weeks, leading to an extensive number of studies in release engineering. Open-source development (OSD) has also witnessed a rapid increase in release rates, however, no large dataset of open-source projects exists which features high release rates. In this paper, we introduce the RapidRelease dataset, a data showcase of high release frequency open-source projects. The dataset hosts 994 projects from Github, with over 2 million issue reports. To the best of our knowledge, this is the first dataset that can facilitate researchers to empirically study release engineering and agile software development in open-source projects with rapid releases.",4,16,29-Aug-19,29-Aug-19,2020 46th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)
Open-Source Innovation in Practice: A Lean-Based Development Process Leveraging Open-Source Big Data Tools,,S. Alonso; M. Viana; E. Cirilo; P. Alencar; C. Lucena,2019,9,IEEE Conferences,10.1109/BigData47090.2019.9006516,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9006516,,"Innovation depends on the exploitation of market potential with products that are aligned with customer needs. However, building innovative products is becoming gradually more challenging because of increased market volatility, uncertainty, complexity and ambiguity. In our Innovation Lab, inside an e-Procurement Company, we encountered several challenges when implementing an innovation process to develop an initial unstructured data processing Minimum Viable Product (MVP) based on opensource big data tools: (i) raising and prioritizing user demands; (ii) deciding about adequate tools; and (iii) understanding how to promptly set up a viable product. In this paper, we share our open-source innovation experience in bringing novel solutions to an oil company's suppliers. In general, we present and discuss how we have been applying our innovation process to create MVPs, and which technical decision helped us accelerate the MVP development in the presence of a large-scale, unstructured database and open-source big data tools. Overall, we believe the proposed lean-based development process can help practitioners and researchers who want to understand and improve their knowledge about lean products, how to build MVPs, and advance open-source innovation involving big data tools.",,36,24-Feb-20,24-Feb-20,2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR)
A Versatile Dataset of Agile Open Source Software Projects,,V. Tawosi; A. Al-Subaihin; R. Moussa; F. Sarro,2022,4,IEEE Conferences,10.1145/3524842.3528029,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796320,Agile Development;Open-Source Software;Data Mining,"Agile software development is nowadays a widely adopted practise in both open-source and industrial software projects. Agile teams typically heavily rely on issue management tools to document new issues and keep track of outstanding ones, in addition to storing their technical details, effort estimates, assignment to developers, and more. Previous work utilised the historical information stored in issue management systems for various purposes; however, when researchers make their empirical data public, it is usually relevant solely to the study's objective. In this paper, we present a more holistic and versatile dataset containing a wealth of information on more than half a million issues from 44 open-source Agile software, making it well-suited to several research avenues, and cross-analyses therein, including effort estimation, issue prioritization, issue assignment and many more. We make this data publicly available on GitHub to facilitate ease of use, maintenance, and extensibility.",2,33,21 jun. 2022,21 jun. 2022,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR)
Open-Source Software Security Challenges and Policies for Cloud Enterprises,,S. Gupta; S. Vadlamudi,2023,5,IEEE Conferences,10.1109/ICCT56969.2023.10076194,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076194,Open Source;Enterprise Security;Open-Source Security Polices;Cloud Security,"Cloud computing stimulated the development of agile software. The new oil is software. More than 70-90% of the software is open-source, and its usage is inevitable. Open source encourages innovation through collaboration, reduces Time-To-Market, and fuels breakthrough technologies from the past few decades. In a way, open source is eating software or driving the Software world. Open source communities involve more contributors /developers, sometimes posing substantial security challenges. Recently, we have witnessed SolarWinds compromising the entire supply chain, Log4j allowing access to execute code with critical zero-day vulnerability remotely. The digital universe paused because these zero-day vulnerabilities exploded as an outcome. In this work, we will highlight challenges and propose an approach to help organisations protect the code base by safely consuming the Open Source.",,12,27 mar. 2023,27 mar. 2023,2023 3rd International Conference on Intelligent Communication and Computational Techniques (ICCT)
Scope of Agile Approach for Software Testing Process,,K. Pathak; S. Ninoria; S. Bharadwaj,2022,4,IEEE Conferences,10.1109/SMART55829.2022.10047649,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10047649,Open-Source Testing Tools;Testing Automation;Agile Testing;Software Testing,"Today, the most vital step is software testing, especially in product quality. Agile software development is exceedingly difficult and has contentious issues in literature and business. Since most Agile techniques place more emphasis on development than software testing activities, different people have varying opinions about how software testing fits into these methodologies. Agile places a high emphasis on frequent deliveries and tight client connections. However, software testing is complex because agile does not incorporate many destructive testing techniques typically required for a product of higher-quality. The study reveals industry-wide Agile testing procedures and the main problems that arise when Agile development is used. Additionally covered are the differences between manual and automated testing, best automation practices, and ways to lead different testing teams in an agile testing environment. This study covers every facet of the Agile software testing process. Agile development has shown that testing is not a distinct stage but rather a crucial component of software development along with the coding. The agile team employs an overall strategy to produce software products of the highest quality. As part of an agile team, testers collect customer samples of the desired behaviour and collaborate with the developer's team to help the coders translate these examples into executable specifications. Coding and testing are done iteratively and incrementally, developing every item until it is valuable enough to release in production. It addresses several testing modalities. The classification provided by its quadrants aids teams in determining and organizing the necessary tests. To increase quality assurance, this article will examine various and improved Agile Testing Processes and methodologies. Additionally, the topic of Agile development's software testing method is covered. Agile development processes can be improved and more advantageous by incorporating testing procedures.",,17,24-Feb-23,24-Feb-23,2022 11th International Conference on System Modeling & Advancement in Research Trends (SMART)
Teaching an Undergraduate Software Engineering Course using Active Learning and Open Source Projects,,M. Dorodchi; E. Al-Hossami; M. Nagahisarchoghaei; R. S. Diwadkar; A. Benedict,2019,4,IEEE Conferences,10.1109/FIE43999.2019.9028517,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9028517,Software Engineering;Open Source Software;Professionalism in Classroom;Agile Development,"This work in progress presents a model for first undergraduate software engineering course as a core course of the computer science curriculum. The course is designed to be offered in the fourth or fifth semesters (i.e., end of sophomore or beginning of the junior year) for students who have completed the introductory programming and data structures courses. In addition, they may have some basic knowledge of databases and web technologies. Moreover, in our curriculum, students at this level have not been exposed to any codebase of real-world application and particularly of large size (>10,000 lines) codebases yet. Based on such situations, the major focus of this course is on teaching the fundamentals of software engineering as a methodology of developing real-world software with an emphasis on: 1) software systems in the enterprise level, 2) basic modeling using functional, flow, and behavioral diagrams, and 3) team-based agile project development. The paper discusses our novel course configuration of the three emphasized elements above, where students work with open source software in this class as part of course activities and assignments to simulate working on an enterprise project and learn agile development Our observation as well as our industry partners indicated that students enjoy the open source challenges and demonstrate professional competency after this course. Our initial findings include a positive impact of open source and team work on our students.",13,15,12 mar. 2020,12 mar. 2020,2019 IEEE International Conference on Big Data (Big Data)
Studying the Impact of Policy Changes on Bug Handling Performance,,Z. Abou Khalil,2019,4,IEEE Conferences,10.1109/ICSME.2019.00093,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8918977,"bug tracker, empirical analysis, bug fixing process, software maintenance, rapid release cycle, bug triaging, Bugzilla","The majority of the software development effort is spent on software maintenance. Bug handling constitutes one of the major software maintenance activities. Earlier studies have empirically investigated various aspects of bug handling, such as bug triaging, bug fixing, and bug process analysis. However, results from previous studies may not be applicable to contemporary agile software development practices.Moreover, these studies did not investigate how changes in the development policies and supporting tools impact the bug handling process. Therefore, our main goal is to investigate the impact of such changes on the bug handling process performance. To do so, we are conducting empirical studies on large and long-lived open source software projects. We report on our current research findings and outline the ongoing Ph.D. research project of the first author.",,22,05-Dec-19,05-Dec-19,2019 IEEE Frontiers in Education Conference (FIE)
Enhancing High-Quality User Stories with AQUSA: An Overview Study of Data Cleaning Process,,S. N. Fathin Najwa Binti Mustaffa; J. B. Sallim; R. Binti Mohamed,2021,5,IEEE Conferences,10.1109/ICSECS52883.2021.00060,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9537069,User Story;Agile Software Development;Data Cleaning;Quality User Story,"Agile software development has ended up profoundly prevalent over the final two decades. In conjunction with the increment of these methodology, amount of scientific research on this topic has also increased. This research concentrates on one component from Agile software development which is User Stories (US). In a recent paper, quality framework for User Stories was proposed together with a tool implementing which is still minimal finding to achieve high quality of user story document. It is closely related to the data requirement as part of the success factor in development project. The main goal is to analyze US requirement written and identification of potential errors in datasets that bring the effectiveness in forecasting the quality of User Stories for monitoring purpose. One of the steps require to identify the quality User Stories is by the route passing through data cleaning process. The research analysis considers performing data cleaning and pre-processing towards existing dataset of user story requirement from open-source agile software projects. Results of analyzing the User Stories will reveal the possibility step of data cleaning as initial step to extend the AQUSA tools and forecast the quality of User Stories. Thus, it can be related to the requirements quality based on the number of issues report in the dataset where highest number of issues report can be categorized as poor requirement statement.",,16,17-Sep-21,17-Sep-21,2021 International Conference on Software Engineering & Computer Systems and 4th International Conference on Computational Science and Information Management (ICSECS-ICOCSIM)
Exploring Virtual Reality as an Integrated Development Environment for Cyber-Physical Systems,,T. Mikkonen; K. -K. Kemell; P. Kettunen; P. Abrahamsson,2019,4,IEEE Conferences,10.1109/SEAA.2019.00027,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8906706,"Reality (VR), Cyber-Physical Systems (CPS), Integrated Development Environment (IDE), Embedded Systems, Virtualization, Digital Twin, Virtual Twin, Simulation, Agile Software Development, Collaboration","Cyber Physical Systems (CPS) development approaches tend to start from the physical (hardware) perspective, and the software is the final element in the process. However, this approach is unfit for the more software-intensive world that is increasingly iterative, connected, and constantly online. Many constraints prevent the application of iterative, incremental, and agile development methodologies, which now are the norm for many other fields of software. Time-consuming system validation can only start when both hardware and software components are ready, which implies that the software delivery and quality is almost always the final bottleneck in the CPS development and integration. Also organizational issues raise concerns - CPS development teams are nowadays often geographically distributed, which can result in delays in the process, shortcomings, and even mistakes. In this paper, we propose using our envisioned open-source Virtual Reality-based Integrated software Development Environment (VRIDE) for developing the next generation, increasingly software-intensive CPSs in efficient ways.",1,21,21 nov. 2019,21 nov. 2019,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
Bulut Üzerinde DevOps Mimarisi DevOps Architecture in the Cloud,,Y. Demiral; N. Çarkacı; U. Çekmez,2019,3,IEEE Conferences,10.1109/SIU.2019.8806433,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8806433,DevOps;Agile Development;Continuous Integration;Cloud Computing;Container;Microservices,"Developing technology and information systems have gained a great place in our lives and the importance of scalable software, cloud computing and distributed architectures has increased. With these developments, the necessity of providing seamless service of development and operational processes, monitoring and auto-management of these complex architectures has born. Thus, the DevOps concept aiming to conduct both software projects in an automatic & seamless way and cooperation between the developer teams has emerged. In recent years, conducting DevOps pipeline consisting of software planning, coding, compilation, versioning, testing, publishing and managing have been implemented on cloud technologies to create better performance and fault tolerant structure. In this study, agile development, continuous integration and gradual operation of delivery processes for containerized technologies are implemented and evaluated on OpenStack, one of the private open source cloud infrastructures, with respect to DevOps principles.",,,22-Aug-19,22-Aug-19,2020 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)
SoReady: An Extension of the Test and Defect Coverage-Based Analytics Model for Pull-Based Software Development,,S. M. Syed-Mohamad; N. S. Md. Akhir,2019,5,IEEE Conferences,10.1109/APSEC48747.2019.00011,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8945520,"Pull based software development, agile, software release readiness, pull requests, test coverage, defect coverage, metrics, test analytics.","Pull-based software development is a distributed development model that offers an opportunity to review a pull request before it gets merged into the main repository. A pull request addresses new features, bug fixing, and maintenance issues submitted by both integrators or contributors. It appears that many empirical studies are conducted to discover how pull request evaluation is done, and to our knowledge, limited research exists for assessing release readiness of pull requests. Studies also reported that the failure rate of pull-requests rapidly increases when there are many forks created. It is therefore, questions worth exploring are whether the code review really contributing to the code quality, and how to determine the release readiness of pull requests? In our previous work, test and defect coverage-based analytics model (TDCAM) has been proven to be suitable to determine the readiness of releases for software that is rapidly evolving, in which this is also a characteristic of pull-based software development. In this paper, the TDCAM has been extended to include pull request coverage indicators. The proposed model, namely as SoReady and the visualization analysis presented herein has enabled five developers in a commercial setting to make informed and evidence-based decisions regarding the test status of each pull request and overall reliability of an open source software through a prototype dashboard.",1,15,2 jan. 2020,2 jan. 2020,2020 14th International Conference on Open Source Systems and Technologies (ICOSST)
Towards Developing High Performance RISC-V Processors Using Agile Methodology,,Y. Xu; Z. Yu; D. Tang; G. Chen; L. Chen; L. Gou; Y. Jin; Q. Li; X. Li; Z. Li; J. Lin; T. Liu; Z. Liu; J. Tan; H. Wang; H. Wang; K. Wang; C. Zhang; F. Zhang; L. Zhang; Z. Zhang; Y. Zhao; Y. Zhou; Y. Zhou; J. Zou; Y. Cai; D. Huan; Z. Li; J. Zhao; Z. Chen; W. He; Q. Quan; X. Liu; S. Wang; K. Shi; N. Sun; Y. Bao,2022,21,IEEE Conferences,10.1109/MICRO56248.2022.00080,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9923860,agile development;open-source hardware;microarchitecture,"While research has shown that the agile chip design methodology is promising to sustain the scaling of computing performance in a more efficient way, it is still of limited usage in actual applications due to two major obstacles: 1) Lack of tool-chain and developing framework supporting agile chip design, especially for large-scale modern processors. 2) The conventional verification methods are less agile and become a major bottleneck of the entire process. To tackle both issues, we propose MINJIE, an open-source platform supporting agile processor development flow. MINJIE integrates a broad set of tools for logic design, functional verification, performance modelling, pre-silicon validation and debugging for better development efficiency of state-of-the-art processor designs. We demonstrate the usage and effectiveness of MINJIE by building two generations of an open-source superscalar out-of-order RISC-V processor code-named XIANGSHAN using agile methodologies. We quantify the performance of XIANGSHAN using SPEC CPU2006 benchmarks and demonstrate that XIANGSHAN achieves industry-competitive performance.",,115,26-Oct-22,26-Oct-22,2022 55th IEEE/ACM International Symposium on Microarchitecture (MICRO)
An Innovative Approach to Modeling VIPER Rover Software Life Cycle Cost,,S. Stukes; M. Allan; G. Bajjalieh; M. Deans; T. Fong; J. Hihn; H. Utz,2021,15,IEEE Conferences,10.1109/AERO50100.2021.9438347,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9438347,software cost estimation;software sizing;software estimating methodologies;parametric modeling;independent cost estimate;flight software;Lunar rover,"NASA's “Volatiles Investigating Polar Exploration Rover” (VIPER) will be the first robotic mission to prospect for water ice near the south pole of the Moon in late 2023 on a 100-Earth-day mission. The information that the VIPER rover provides will help improve understanding of the composition, distribution, and accessibility of Lunar polar volatiles and will help determine how the Moon's resources can support future human space exploration. VIPER, however, represents a radical departure from the way that NASA has traditionally developed planetary robotic missions. A key consequence of these differences is that estimating the cost of VIPER's rover software is challenging and complex. For example, VIPER is being developed using management procedures typically applied to NASA research and technology projects, rather than space flight programs. In addition, key portions of the rover's software are being designed as ground software to run on mission control computers (rather than onboard the rover as flight software as with prior planetary missions) taking advantage of continuous, interactive data communications between the Moon and Earth and higher performance computing available on the ground. Moreover, the rover's software is being engineered using Agile software development practices and incorporates a significant amount of open-source code, rather than following traditional (spiral, waterfall, etc.) development methods and in-house code. In this paper, we present an innovative process to estimate the life cycle cost of VIPER's rover software. We first describe how we modeled the architecture and code counts for three software elements: Rover Flight Software (RFSW), Rover Ground Software (RGSW), and Rover Simulation Software (RSIM). We then discuss key challenges and unique aspects of our approach, such as the lack of Lunar rover analogies, the need to integrate and test large open source software, and the strategies developed to account for use of non-space flight management practices and the impact of the COVID-19 pandemic. We conclude with a summary of our results, including cumulative distribution, nearest neighbors and cluster analysis, as well as heuristics used to confirm the reasonableness of the cost estimate.",1,15,7 jun. 2021,7 jun. 2021,2021 IEEE Aerospace Conference (50100)
A Game Plan to Build Optimized Regression Testing in Agile Methodologies Using Test Prioritization,,N. Govil; A. Sharma,2021,3,IEEE Conferences,10.1109/ISCON52037.2021.9702479,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9702479,Agile Methodologies;Automated Regression Testing;Test Prioritization;Risk-based Approach;Collaborative Approach,"Substantially, every software system is not completely bug-free. However, software industries usually apply a lot of convincing strategies to ensure the delivery of bug-free software products. Due to the iterative and incremental nature of Agile projects, testing activities are simultaneously organized by the Scrum Masters along with the routine development exercises. Regression testing is such type of testing technique that is performed to corroborate and ensure the impact of any new code in the existing modules of the software product. Proper optimization practices can reduce the efforts and time required to conduct Regression Testing. Although, it is quite challenging to optimize regression testing activities. So there is a need to implement an automotive regression testing mechanism that is based on associated risks and test prioritization to reduce the testing time and effort of testing engineers. In this research paper, we discussed the challenges and strategies to develop optimized regression testing in Agile methodologies. By adopting this mechanism, professionals can reduce their testing effort and time while developing Agile software products to a great extent.",,16,14-Feb-22,14-Feb-22,2021 5th International Conference on Information Systems and Computer Networks (ISCON)
Towards Predicting the Impact of Software Changes on Building Activities,,M. Tufano; H. Sajnani; K. Herzig,2019,3,IEEE Conferences,10.1109/ICSE-NIER.2019.00021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8805697,software building;predictive models,"The pervasive adoption of Continuous Integration practices - both in industry and open source projects - has led software building to become a daily activity for thousands of developers around the world. Companies such as Microsoft have invested in in-house infrastructures with the goal of optimizing the build process. CloudBuild, a distributed and caching build service developed internally by Microsoft, runs the build process in parallel in the cloud and relies on caching to accelerate builds. This allows for agile development and rapid delivery of software even several times a day. However, moving towards faster builds requires not only improvements on the infrastructure side, but also attention to developers' changes in the software. Surely, architectural decisions and software changes, such as addition of dependencies, can lead to significant build time increase. Yet, estimating the impact of such changes on build time can be challenging when dealing with complex, distributed, and cached build systems. In this paper, we envision a predictive model able to preemptively alert developers on the extent to which their software changes may impact future building activities. In particular, we describe an approach that analyzes the developer's change and predicts (i) whether it impacts (any of) the Longest Critical Path; (ii) may lead to build time increase and its delta; and (iii) the percentage of future builds that might be affected by such change.",8,10,22-Aug-19,22-Aug-19,2019 IEEE International Conference on Software Maintenance and Evolution (ICSME)
A Mixed Reality Teaching Course for Formal Higher Education,,B. Hensen; R. Klamma,2022,4,IEEE Conferences,10.23919/iLRN55037.2022.9815961,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9815961,mixed reality;augmented reality;education;curriculum;workplace training,"The advancements of mixed reality technologies enable a productive application of mixed reality in various fields. This increases the demand for skilled mixed reality developers. Current curricula do not offer dedicated mixed reality courses in higher education that provide the necessary competences. We demonstrate a lab course for mixed reality software engineering in a bachelor program at a technical university with its learning goals and the identified skills to support future mixed reality computer scientists. The course was conducted five times over two and a half years with a total of 38 students. In all instances, the same open-source software project was used as a boundary object to train agile software engineering, mixed reality development competences, and presentation skills. As the course teaches state-of-the-art agile workflows, its aim is to prepare students for scientific projects, a bachelor thesis and industry training scenarios in mixed reality.",,15,11 jul. 2022,11 jul. 2022,2022 8th International Conference of the Immersive Learning Research Network (iLRN)
Work in Progress: Development of a web-based educational robotics learning monitoring system using free software,,J. Galindo-Losada; C. Balcazar; M. Carrión-Toro; M. Santórum,2023,3,IEEE Conferences,10.1109/EDUNINE57531.2023.10102878,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10102878,framework;web application;monitoring;emotions;usability;robotics;assessment;free software,"Educational robotics encompasses the integration of robotics into educational processes for educational purposes. An example of educational robotics is Lego Education WeDo 2.0, whose workshops include Exploration, Creation, and Sharing phases. Students build and design robots based on instructions to achieve goals. However, all the gathered information of the students during the workshops is not stored and published in a web system. Thus, workshop information is not delivered to teachers in a web manner to monitor students' learning. Since this, a web-based system has been developed to track such experiences. It allows the monitoring and control of student performance at each stage of the learning process based on a non-intrusive method to capture information, such as detecting emotions through a webcam. A Scrum methodology is used, which allows user stories definition. Usability assessment with 17 experts shows an overall score of 88.30 percent.",,13,21-Apr-23,21-Apr-23,2023 IEEE World Engineering Education Conference (EDUNINE)
Learning to Identify Security-Related Issues Using Convolutional Neural Networks,,D. N. Palacio; D. McCrystal; K. Moran; C. Bernal-Cárdenas; D. Poshyvanyk; C. Shenefiel,2019,4,IEEE Conferences,10.1109/ICSME.2019.00024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8919098,deep learning;cnn;security issues;sdl,"Software security is becoming a high priority for both large companies and start-ups alike due to the increasing potential for harm that vulnerabilities and breaches carry with them. However, attaining robust security assurance while delivering features requires a precarious balancing act in the context of agile development practices. One path forward to help aid development teams in securing their software products is through the design and development of security-focused automation. Ergo, we present a novel approach, called SecureReqNet, for automatically identifying whether issues in software issue tracking systems describe security-related content. Our approach consists of a two-phase neural net architecture that operates purely on the natural language descriptions of issues. The first phase of our approach learns high dimensional word embeddings from hundreds of thousands of vulnerability descriptions listed in the CVE database and issue descriptions extracted from open source projects. The second phase then utilizes the semantic ontology represented by these embeddings to train a convolutional neural network capable of predicting whether a given issue is security-related. We evaluated SecureReqNet by applying it to identify security-related issues from a dataset of thousands of issues mined from popular projects on GitLab and GitHub. In addition, we also applied our approach to identify security-related requirements from a commercial software project developed by a major telecommunication company. Our preliminary results are encouraging, with SecureReqNet achieving an accuracy of 96% on open source issues and 71.6% on industrial requirements.",11,24,05-Dec-19,05-Dec-19,2020 IEEE Green Technologies Conference(GreenTech)
